base_title,subtitle,title_tag_line,short_description,event_date,event_status,location,arena
UFC® 92,THE ULTIMATE 2008,,,2008-12-27T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
The Ultimate Fighter® Finale,Team Nog vs Team Mir,,,2008-12-13T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Pearl
UFC® Fight Night™,FIGHT FOR THE TROOPS,,,2008-12-10T00:00:00Z,POST_EVENT,"Fort Bragg, NC",Crown Coliseum
UFC® 91,COUTURE vs LESNAR,,,2008-11-15T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 90,SILVA vs COTE,,,2008-10-25T00:00:00Z,POST_EVENT,"Chicago, IL",Allstate Arena
UFC® 89,BISPING vs LEBEN,,,2008-10-18T00:00:00Z,POST_EVENT,"Birmingham, United Kingdom",The NIA
UFC® Fight Night™,Diaz vs Neer,,,2008-09-17T00:00:00Z,POST_EVENT,"Omaha, NE",Omaha Civic Auditorium
UFC® 88,BREAKTHROUGH,,,2008-09-06T00:00:00Z,POST_EVENT,"Atlanta, GA",Philips Arena
UFC® 87,SEEK AND DESTROY,,,2008-08-09T00:00:00Z,POST_EVENT,"Minneapolis, MN",Target Center
UFC® Fight Night,Silva vs Irvin,,,2008-07-19T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Pearl
UFC® 86,JACKSON vs GRIFFIN,,,2008-07-05T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
The Ultimate Fighter® Finale,Team Rampage vs Team Forrest,,,2008-06-21T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Pearl
UFC® 85,BEDLAM,,,2008-06-07T00:00:00Z,POST_EVENT,"London, England",O2 Arena
UFC® 84,ILL WILL,,,2008-05-24T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 83 ,SERRA vs ST-PIERRE 2,,,2008-04-19T00:00:00Z,POST_EVENT,"Montreal, Canada",Centre Bell
UFC® Fight Night™,FLORIAN vs LAUZON,,,2008-04-02T00:00:00Z,POST_EVENT,"Broomfield, CO",Broomfield Event Center
UFC® 82,PRIDE OF A CHAMPION,,,2008-03-01T00:00:00Z,POST_EVENT,"Columbus, OH",Nationwide Arena
UFC® 81,BREAKING POINT,,,2008-02-02T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® Fight Night™,SWICK vs BURKMAN,,,2008-01-23T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Pearl
UFC® 80,RAPID FIRE,,,2008-01-19T00:00:00Z,POST_EVENT,"Newcastle, England",Metro Radio Arena
UFC® 79,NEMESIS,,,2007-12-29T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
The Ultimate Fighter®,Team Serra vs Team Hughes FINALE,,,2007-12-09T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Pearl
UFC® 78,VALIDATION,,,2007-11-17T00:00:00Z,POST_EVENT,"Newark, New Jersey",Prudential Center
UFC® 77,HOSTILE TERRITORY,,,2007-10-20T00:00:00Z,POST_EVENT,"Cincinnati, OH",US Bank Arena
UFC® 76,KNOCKOUT,,,2007-09-22T00:00:00Z,POST_EVENT,"Anaheim, CA",Honda Center
