first_name,last_name,wins,losses,draws,weight_class,title_holder,fighter_status
Will,Santiago,9.0,5.0,0.0,Middleweight,False,Active
Jack,Hermansson,17.0,4.0,0.0,Middleweight,False,Active
Pearl,Gonzalez,6.0,2.0,0.0,Women_Strawweight,False,Active
Montel,Jackson,6.0,0.0,0.0,Bantamweight,False,Active
Royce,Gracie,13.0,2.0,2.0,Middleweight,False,NotFighting
Dennis,Bermudez,17.0,8.0,0.0,Featherweight,False,Active
Wilson,Reis,22.0,9.0,0.0,Flyweight,False,Active
Rico,DiSciullo,9.0,2.0,0.0,Bantamweight,False,Active
Patrick,Cummins,10.0,4.0,0.0,Light_Heavyweight,False,Active
Greg,Hardy,1.0,0.0,0.0,Heavyweight,False,Active
John,Dodson,21.0,9.0,0.0,Bantamweight,False,Active
Jessin,Ayari,16.0,4.0,0.0,Welterweight,False,Active
Austen,Lane,4.0,1.0,0.0,Heavyweight,False,Active
Bryan,Caraway,21.0,9.0,0.0,Bantamweight,False,Active
Derrick,Lewis,19.0,5.0,0.0,Heavyweight,False,Active
Rob,Font,15.0,3.0,0.0,Bantamweight,False,Active
Joanne,Calderwood,11.0,3.0,0.0,Women_Strawweight,False,Active
Emil,Meek,9.0,2.0,1.0,Welterweight,False,Active
Ashkan,Mokhtarian,13.0,3.0,0.0,Flyweight,False,Active
Sean,Lally,8.0,3.0,0.0,Welterweight,False,Active
Alex,Chambers,5.0,4.0,0.0,Women_Strawweight,False,Active
Lyman,Good,19.0,4.0,0.0,Welterweight,False,Active
Belal,Muhammad,14.0,2.0,0.0,Welterweight,False,Active
Tom,Duquesnoy,15.0,2.0,0.0,Bantamweight,False,Active
Chris,Curtis,19.0,5.0,0.0,Welterweight,False,Active
CB,Dollaway,18.0,9.0,0.0,Middleweight,False,Active
Andrew,Holbrook,12.0,2.0,0.0,Lightweight,False,Active
Jonathan,Meunier,8.0,1.0,0.0,Welterweight,False,Active
Dashawn,Boatwright,3.0,1.0,0.0,Light_Heavyweight,False,Active
Edson ,Barboza,19.0,5.0,0.0,Lightweight,False,Active
Heather Jo,Clark,7.0,6.0,0.0,Women_Strawweight,False,Active
Devin,Clark,9.0,2.0,0.0,Light_Heavyweight,False,Active
Alan,Patrick,15.0,1.0,0.0,Lightweight,False,Active
Aisling,Daly,16.0,5.0,0.0,Women_Strawweight,False,NotFighting
Matthew,Lopez,10.0,4.0,0.0,Bantamweight,False,Active
Blagoy,Ivanov,16.0,1.0,1.0,Heavyweight,False,Active
Matt,Brown,23.0,16.0,0.0,Welterweight,False,Active
Pascal,Krauss,11.0,2.0,0.0,Welterweight,False,Active
Jimmie,Rivera,21.0,2.0,0.0,Bantamweight,False,Active
Naoki,Inoue,11.0,0.0,0.0,Flyweight,False,Active
Chris,De La Rocha,5.0,2.0,0.0,Heavyweight,False,Active
Joe,Proctor,11.0,5.0,0.0,Welterweight,False,Active
Carla,Esparza,14.0,5.0,0.0,Women_Strawweight,False,Active
Will,Brooks,18.0,4.0,0.0,Lightweight,False,Active
Marlon,Moraes,21.0,5.0,1.0,Bantamweight,False,Active
Gilbert,Burns,14.0,2.0,0.0,Lightweight,False,Active
Felice,Herrig,14.0,7.0,0.0,Women_Strawweight,False,Active
Jared,Gordon,14.0,2.0,0.0,Lightweight,False,Active
Merab,Dvalishvili,7.0,3.0,0.0,Bantamweight,False,Active
Muslim,Salikhov,14.0,2.0,0.0,Welterweight,False,Active
Steve,Bosse,12.0,2.0,0.0,Light_Heavyweight,False,Active
Myles,Jury,17.0,2.0,0.0,Featherweight,False,Active
Marvin,Vettori,12.0,4.0,1.0,Middleweight,False,Active
Luke,Jumeau,13.0,4.0,0.0,Welterweight,False,Active
Siyar,Bahadurzada,23.0,6.0,1.0,Welterweight,False,Active
Angela,Hill,8.0,4.0,0.0,Women_Strawweight,False,Active
Teemu,Packalen,8.0,2.0,0.0,Lightweight,False,Active
Lando,Vannata,9.0,2.0,1.0,Lightweight,False,Active
Dominique,Steele,14.0,9.0,0.0,Welterweight,False,Active
Rashad,Coulter,8.0,4.0,0.0,Heavyweight,False,Active
Neil,Seery,16.0,13.0,0.0,Flyweight,False,Active
Justine,Kish,6.0,2.0,0.0,Women_Flyweight,False,Active
Cortney,Casey,7.0,5.0,0.0,Women_Strawweight,False,Active
Jesse,Taylor,32.0,15.0,0.0,Middleweight,False,Active
Craig,White,14.0,8.0,0.0,Welterweight,False,Active
Randa,Markos,8.0,6.0,0.0,Women_Strawweight,False,Active
Nick,Diaz,26.0,10.0,0.0,Middleweight,False,Active
Dan,Hardy,25.0,10.0,0.0,Welterweight,False,Active
Reza,Madadi,14.0,6.0,0.0,Lightweight,False,Active
Michel,Prazeres,25.0,2.0,0.0,Welterweight,False,Active
Nick,Hein,14.0,3.0,0.0,Lightweight,False,Active
Jessica,Penne,12.0,6.0,0.0,Women_Strawweight,False,Active
Aspen,Ladd,6.0,0.0,0.0,Women_Bantamweight,False,Active
Molly,McCann,7.0,2.0,0.0,Women_Flyweight,False,Active
Jon,Jones,23.0,1.0,0.0,Light_Heavyweight,False,Active
James,Vick,13.0,1.0,0.0,Lightweight,False,Active
Bec,Rawlings,7.0,8.0,0.0,Women_Flyweight,False,Active
CM,Punk,0.0,2.0,0.0,Welterweight,False,Active
Justin,Gaethje,18.0,2.0,0.0,Lightweight,False,Active
Carlo,Pedersoli,11.0,1.0,0.0,Welterweight,False,Active
Al,Iaquinta,13.0,4.0,1.0,Lightweight,False,Active
Tecia,Torres,10.0,2.0,0.0,Women_Strawweight,False,Active
Frankie,Perez,10.0,4.0,0.0,Lightweight,False,Active
Oliver,Enkamp,7.0,1.0,0.0,Welterweight,False,Active
Vinc,Pichel,11.0,2.0,0.0,Lightweight,False,Active
John ,Makdessi,15.0,6.0,0.0,Lightweight,False,Active
Michael,Chiesa,14.0,3.0,0.0,Lightweight,False,Active
Katlyn,Chookagian,10.0,1.0,0.0,Women_Flyweight,False,Active
Georges,St-Pierre,26.0,2.0,0.0,Middleweight,False,Active
Daniel,Omielanczuk,19.0,8.0,1.0,Heavyweight,False,Active
Chase,Sherman,11.0,4.0,0.0,Heavyweight,False,Active
Tai,Tuivasa,10.0,0.0,0.0,Heavyweight,False,Active
Dooho,Choi,14.0,2.0,0.0,Featherweight,False,Active
Justin,Ledet,9.0,0.0,0.0,Heavyweight,False,Active
Jessica-Rose,Clark,9.0,4.0,0.0,Women_Flyweight,False,Active
Ian,McCall,13.0,5.0,1.0,Flyweight,False,Active
Markus,Perez,10.0,1.0,0.0,Middleweight,False,Active
